pid,title,dateStart,dateEnd,tTags,description,image-tile,image,video,link
1,"Paul Poiret, King of Fashion",1976-05-25,1976-09-11,"1970s, paul poiret, retrospective, robert riley","The Fashion Institute of Technology has organized this retrospective exhibition of the genius who was known in his lifetime as the King of Fashion – the man who liberated women’s bodies by abolishing the corset – whose imaginative creations were the ruin of a stodgy society – who was the father of modern dressmaking.
In presenting the exhibition in celebration of our Bicentennial, we honor not only our political debt to France through the American Revolution but also French fashion industries for the inspiration given us for so many years.",poiret-king-of-fashion.png,poiret-gallery.jpg,,
2,"Three Women: Kawakubo, Vionnet, McCardell",1987-02-24,1987-04-18,"laura sinderbrand, claire mccardell, harold koda, madeleine vionnet, rei kawakubo, richard martin","Three Women: Madeleine Vionnet, Claire McCardell, and Rei Kawakubo is an examination of construction and style in three great designers of the twentieth century. Each designer, in a a separate era of the century, provided a new concept and vision of dress. They reformulate and reform dress. All three offer clothing design as a conceptual and radical enterprise. They posit ideas as they work with material; they realize a definition of woman as they create the garment. In the instances of Vionnet, McCardell, and Kawakubo, these women make clothes that make women. These three women make clothes that foster a new intelligence and new directions in apparel. Their analytical considerations of construction, of the body, and of the social role of women were and are brave and abiding ideas about fashion.",three-women.png,,,
3,The Corset: Fashioning the Body,2000-01-25,2000-04-22,"corset, valerie steele","The corset was one of the sexiest items of clothing in the history of fashion — and one of the most controversial. Like the high-heeled shoe, it is viewed as both an icon of erotic femininity and an instrument of women’s oppression. The Museum at FIT examined the social and cultural significance of the corset throughout fashion history in the exhibition The Corset: Fashioning the Body.

Curated by Valerie Steele, chief curator at The Museum at FIT, the exhibition included approximately 100 corsets and corset-inspired fashions, as well as archival photographs, posters, books, caricatures, and advertisements that document the evolution of corsetry. More than the typical display of “historic costume,” this exhibition explored the social-psychology of clothing. By showing how corsets have fashioned the ideal body and by presenting a wide variety of different kinds of corsets, the exhibition brilliantly demonstrated how the meaning of clothing is constantly being redefined.",corset.jpg,corset-l.jpg,,http://www.fitnyc.edu/museum/exhibitions/the-corset.php
4,Madame Grès: Sphinx of Fashion,2008-02-01,2008-04-19,"madame grès, patricia mears","Madame Alix Grès (1903-1993), was one of the twentieth century’s most brilliant couturiers. During a career that spanned six decades, beginning around 1930 and lasting until 1988, she developed unique construction techniques that allowed her to craft garments of exquisite sculptural beauty. Because Grès draped each garment by hand and eschewed novel, thematic collections, her work has often been described – inaccurately – as free from the quixotic dictates of fashion. The fact is that she did keep pace with the times, but rather than merely follow general design trends, she elevated dressmaking to an art form.

Despite the high regard in which Madame Grès is held, the details of her innovations and the evolution of her distinctive style remain relatively obscure. This exhibition was the first to identify three primary styles as distinct terms in the Grès lexicon: the classically-inspired, “Grecian” style of her pleated gowns; the “ethnic” inspirations behind her simple, geometric designs; and the billowing, three-dimensional quality of her “sculptural” coats and gowns. Each original design was crafted by the couturier in solitude and draped “in the round.” Her unique, self-taught methods of construction may lack mathematical precision, but their technical consistency and graceful aesthetics come undeniably from the hand of a master couturier. This exhibition was dedicated to her incomparable achievements.",madame-gres.jpg,,,http://sites.fitnyc.edu/depts/museum/gres/
5,Gothic: Dark Glamour,2008-09-05,2009-02-21,"fantasy, gothic, valerie steele","Gothic is an epithet that evokes images of death, destruction, and decay. Such negative connotations have made the gothic an ideal symbol of rebellion for a wide range of cultural outsiders. From its origins in 18th century gothic literature of terror to its contemporary manifestations in vampire literature and cinema, the gothic has embraced the powers of horror and the erotic macabre. Throughout its history, fashion has been central to our vision of the gothic. More than 75 ensembles were on display in a theatrical mise-en-scene, suggesting iconic gothic settings, such as the labyrinth, the ruined castle and the laboratory. Although popularly identified with black-clad teenagers and rock musicians, gothic fashion was represented in this exhibition with looks by designers such as Alexander McQueen, John Galliano of Christian Dior, Rick Owens, Gareth Pugh, Anne Demeulemeester, Anna Sui, Olivier Theyskens, Ricardo Tischi of Givenchy, Jun Takahashi of Undercover, and Yohji Yamamoto, as well as sub-cultural styles, such as old-school goth, cyber-goth, and the Japanese look of Elegant Gothic Lolitas.",gothic.jpg,gothic-l.jpg,https://www.youtube.com/embed/9QCATpazKBg,http://www.fitnyc.edu/museum/exhibitions/gothic-dark-glamour.php
6,Seduction,2008-12-09,2009-06-16,"colleen hill, sexuality","Seduction is traditionally defined as an act of temptation and enticement, often sexual in nature. Throughout history, men and women have utilized seductive clothing to enhance physical attractiveness, as well as to convey a sense of power and social status. Seduction, the first chronological survey to explore 250 years of sexuality in fashion, examined the complex relationship between seduction and clothing, presenting a visual history of sexuality, moral standards, and social norms all observed through the prism of fashion. At least seventy looks and forty accessories were featured, including a black satin Belle Époque corset, red satin Manolo Blahnik stilettos, and a skintight black leather evening gown by John Galliano for Christian Dior.",seduction.jpg,,,http://www.fitnyc.edu/museum/exhibitions/seduction.php
7,Isabel Toledo: Fashion from the Inside Out,2009-06-17,2009-09-26,"isabel toledo, patricia mears, ruben toledo, valerie steele","The Cuban-born fashion designer Isabel Toledo is often described as “a designer’s designer.” Although she is little known to the general public, her work is greatly admired by members of the fashion community. As the late fashion journalist Amy Spindler once wrote, “Only great designers can dispense with themes and theatrics and let the work speak instead. Ms. Toledo does just that, letting fashion itself be the theme.”",isabel-toledo.jpg,Jellyfish.jpg,,http://www.fitnyc.edu/museum/exhibitions/isabel-toledo.php
8,Fashion & Politics,2009-07-07,200-11-07,"american, elections, jennifer farley, melissa marra-alvarez, patriotism, politics","Featuring over one hundred costumes, textiles and accessories, Fashion & Politics examined the rich history of politics in fashion. The exhibition’s introductory gallery explored the theme of American nationalism and features a woman’s costume, circa 1889, printed with an American flag motif, as well as Catherine Malandrino’s iconic Flag Dress, worn by numerous celebrities and socialites to express patriotism after 9/11, and then again in response to the 2008 elections. Also featured was an “IKE” dress from the 1956 Eisenhower Campaign, a “NIXON” paper dress, and memorabilia from the historic 2008 presidential elections.",fashion-politics.jpg,,,http://www.fitnyc.edu/museum/exhibitions/fashion-and-politics.php
9,Eco-Fashion: Going Green,2010-05-26,2010-11-13,"colleen hill, eco-fashion, environment, evolution, jennifer farley, recycling, sustainability","Eco-Fashion: Going Green explored the evolution of the fashion industry’s multifaceted and complex relationship with the environment. By examining the past two centuries of fashions, good and bad, environmental and ethical practices, Eco-Fashion: Going Green provided historical context for today’s eco-fashion movement.

Presented chronologically and featuring more than 100 garments, accessories, and textiles, the exhibition used contemporary methods for “going green” as a framework to study the past. The objects displayed each touch upon at least one of six major themes: the re-purposing and recycling of materials, fiber origins, textile dyeing and production, quality of craftsmanship, labor practices, and the treatment of animals. Curated by Jennifer Farley and Colleen Hill, the exhibition featured some of the finest examples of 21st-century sustainable fashions by current, cutting-edge labels, including Alabama Chanin, Ciel, Edun, FIN, and NOIR.",eco-fashion.jpg,lrg_gall_ECO_006.jpg,https://www.youtube.com/embed/VN11bag3nWY,http://www.fitnyc.edu/museum/exhibitions/eco-fashion.php
10,"Faking It: Originals, Copies, and Counterfeits",2014-12-02,2015-04-25,"ariele elia, authenticity, copies, counterfeit","Faking It: Originals, Copies, and Counterfeits explored various levels of authenticity in fashion using approximately 100 objects from the museums permanent collection. Throughout the past 150 years of fashion history, couture copies, diffusion lines, and licensing agreements have blurred the line between what is genuine and imitation. Meanwhile, the exponential growth and sophistication of the counterfeit industry has made it increasingly difficult to identify an inauthentic item. Faking It sheds light on the complexities surrounding these topics.",faking-it.jpg,73.82.1_78.179.4_20140910_01_bckgrnd1-922x1020.jpg,https://www.youtube.com/embed/Is9Hxn7Wr5w,http://www.fitnyc.edu/museum/exhibitions/faking-it.php
